title,id,price,Khu Vực,Loại BDS,Diện tích đất,Diện tích sử dụng,Phòng khách,Phòng ngủ,Phòng tắm,Ban công,Hướng,Nội thất
"BÁN CĂN HỘ VIP, VIEW TRIỆU ĐÔ TẠI CIPUTRA, TÂY HỒ, HÀ NỘI",753,32 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,267,267,Hiện Đại,3,3,Yes,Đông Nam,Fully Furnished
Căn hộ 145m tòa P1 Ciputra view nội khu cần bán,752,"9,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,145,145,Hiện Đại,,,,,
"Bán căn góc 267m, tòa L1 Ciputra, view trực diện sân Golf, tầng cao",751,25 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,267,267,,,,,,
"Bán căn hộ VIP 267m, tầng cao tòa L2 KĐT CIputra, Tây Hồ",749,"26,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,267,267,,4,,,Đông Bắc,
"Bán căn hộ 267m, VIP view sân Golf tòa L1, L2 Ciputra",748,"27,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,267,255.9,sang trọng,4,3,,Đông Nam,
Bán căn góc 182m trục đẹp nhất view sân Golf tòa P1 Ciputra,747,16 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,sang trọng,4,3,Yes,Đông Bắc,
"Chính chủ bán căn hộ 182m, tòa P1, P2 Ciputra giá tốt nhất thị trường",746,15 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,,,,,,Đã có Nội Thất
"Chính chủ cần tiền bán gấp căn hộ 123m, tòa E4 Ciputra",745,"7,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,123,123,,,,Có,Tây Bắc,"đủ đồ, đồ đẹp"
Bán căn hộ chung cư cao cấp 128m tòa vườn đào 689 Lạc Long Quân,744,"8,15 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,128,128,rộng,3,2,rộng,,có nội thất
Bán căn hộ  cấp cấp 2 phòng ngủ tại tòa Watermark 395 Lạc Long Quân,743,"7,5 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,75,75,rộng,2,2,,,có nội thất
Bán căn hộ Penhouse Duplex 583m2 tại trung tâm Đống Đa giá cực rẻ,739,81 triệu,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,583,583,rộng,,,,,nội thất xịn
Bán căn hộ Penhouse Duplex 235m2 tại trung tâm Đống Đa giá cực rẻ,738,81 triệu,Quận Tây Hồ,Bán căn hộ quận Đống Đa,235,235,rộng,,,,,nội thất xịn
Căn hộ 3 phòng ngủ tầng cao view sông hồng tại D’. Le Roi Soleil 59 Xuân Diệu,736,"11,99 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,111,111,rộng,3,2,rộng,,nội thất xịn
BÁN CĂN HỘ CAO CẤP TẠI TÒA E4 CIPUTRA – KHÔNG GIAN SỐNG LÝ TƯỞNG,735,12 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,153,153,sang trọng,4,2,,,
"Bán căn hộ siêu đẹp 145m², 3PN, 2WC tại tòa P1 Ciputra Hà Nội",732,"10,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,145,60,3,2,yes,Tây Bắc,Đầy đủ nội thất
"Cần bán căn hộ view đẹp giá mềm tại G2, G3 Ciputra, Hà Nội",731,"7,3 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,119,60,3,2,có,"Trường Unis, Nội khu",gắn tường
"Bán căn hộ góc siêu đẹp 153m², 4PN, 2WC tại tòa E1 Ciputra Hà Nội",729,12 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,153,80,4,2,,View sân Golf,"đủ đồ, đồ đẹp"
"Cần bán căn hộ 119m², 3 phòng ngủ, 2 phòng tắm tại G3 Ciputra, Hà Nội",728,"9,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,119,60,3,2,có,Tây Bắc,"đủ đồ, đồ đẹp"
"Bán căn hộ 2PN Dt 58m, tòa L345 Ciputra giá hợp lý",725,"5,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,58,58,sang trọng,2,1,,Đông Bắc,
"Bán căn hộ Sakura - Vinhomes Smart City - Tòa SA5, 61.5 m2, 2N2VS",722,"41,5 tỷ",Quận Từ Liêm,Căn Hộ Chung Cư Nam Từ Liêm,,61.5 m2,Rộng,2,2,2,Tây Nam,Chủ đầu tư
Bán căn hộ chung cư Ciputra giá tốt nhất thị trường,717,"9,3 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,150,60,3,2,ban công rộng,Tây Bắc,gắn tường
"Bán căn hộ 114m, view sân Golf, tầng cao tòa L345 Ciputra",716,11 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,114,106,sang trọng,3,2,Yes,Đông Nam,
"Chính chủ bán căn góc tòa E4, Ciputra, view nội khu, tầng thấp",712,"10,6 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,146,146,sang trọng,4,2,,Tây Bắc,
"Bán căn hộ 67m, tòa CT13B Ciputra, View Nội khu Ciputra",711,5 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,67,67,,2,2,,Tây Bắc,
Bán căn hộ 2 phòng ngủ View hồ tây nội thất mới tại tòa D’. Le Roi Soleil 59 Xuân Diệu,700,"12,5 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,88,88,rộng,2,2,rộng,,nội thất xịn
"Bán căn hộ 145m, view Sân Golf tòa P1, P2 Ciputra giá cực rẻ",696,"9,3 tỷ",Quận Tây Hồ,Bán Căn Hộ Chung Cư Ciputra,145,145,Hiện Đại,,,,,
"Chính chủ bán căn hộ 182m view sân Golf tòa P2 Ciputra, giá hợp lý",691,"12,7 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,,,,,,
"Bán căn hộ sửa đẹp DT 147m, tòa G3 Ciputra",689,"9,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,147,147,,,,,,
"Chính chủ bán căn hộ tầng thấp tòa G2, g3 Ciputra 194m, 4pn, 3wc giá hợp lý",688,"10,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,194,194,,,,,,
Bán Biệt thự trên không view hồ 3 mặt tầng cao căn trục Số 10 M3 Metropolis,684,30 tỷ,Quận Ba Đình,Bán Căn hộ quận Ba Đình,,143,100,2,2,có,lake view,Fully furnished
"Bán căn hộ 3 phòng ngủ siêu đẹp, view Hồ Tây, tòa D’. Le Roi Soleil 59 Xuân Diệu",682,"13,8 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,111,111,rộng,3,3,rộng,,nội thất xịn
"Bán căn hộ 2 phòng ngủ  D’. Le Roi Soleil  tầng cao, view hồ tây",680,12 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,88,88,rộng,2,2,rộng,,nội thất xịn
"Độc bản siêu VIP tòa L1, L2 Ciputra 267m, view sa Golf giá siêu hời",677,25 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,267,267,Hiện Đại,4,3,,Đông Nam,
"Bán căn hộ tầng thấp 114m, 3Pn, tòa L3 Ciputra full nội thất cao cấp",676,"9,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,114,114,,3,2,,tây nam,
"Bán căn góc 153m tòa E4 Ciputra, view biệt thự nội khu Ciputra",675,10 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,153,153,sang trọng,3,2,,Tây Bắc,
Bán căn hộ 114 m2 view sân golf tầng trung đủ nội thất,673,"10,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,114,,3,2,có,Golf Course Views,"đủ đồ, đồ đẹp"
Bán căn hộ 114m2 tại The Link Ciputra Hà Nội nội thất đẹp hiện đại,672,"9,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,114,40,3,2,có,Tây Nam,"đủ đồ, đồ đẹp"
"Bán căn hộ 168m, tòa C2 Udic Westlake - Ciputra",660,9 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,168,168,,,,,Tây Nam,
"Bán căn hộ 3 PN, view Hồ chung cư Water mark, 395 Lạc Long Quân",658,"10,5 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,123,123,,,,,,
"Bán căn hộ tòa L1 Ciputra, 153m, 2PN, 2WC view sân Golf",657,"12,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,153,153,,,,,,
"Bán căn hộ tòa P1 Ciputra, 182m, 4pn, view sân Golf",656,"15,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,,,,,,
Bán căn hộ Queen 179m2 tòa PentStudio 699 Lạc Long Quân full nội thất,651,"17,5 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,179,179,rộng,2,2,rộng,,nội thất xịn
"Bán căn hộ chung cư A2 Phú Thượng, Tây Hồ, Hà Nội",648,"1,85 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,43,43,Hiện Đại,1,1,Yes,Đông Nam,
"Bán căn hộ 3 phòng ngủ 123m2 tầng cao view quảng trường G2, G3 giá tốt",637,"7,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,123,sang trọng,3,2,có,Ban công Tây bắc,"đủ đồ, đồ đẹp"
"Bán căn hộ 153m, sửa đẹp,  tầng cao tòa nhà E4 Ciputra",635,"11,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,153,153,Hiện Đại,3,2,Yes,Tây Bắc,
Bán căn hộ 2 ngủ 2 Phòng tắm view hồ Tây diện tích 128m2 tại toàn nhà Water Mark Hà Nội,634,12 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,,128,60,2,2,ban công rộng,Đông nam,"đủ đồ, đồ đẹp"
"Bán căn hộ tòa E Ciputra, DT 123m, 2 pn, đầy đủ đồ vào ở ngay",633,"7,9 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,123,123,sang trọng,,,,Tây Bắc,
Bán căn hộ 182 m2 4 phòng ngủ đã sửa đẹp tại toà P1 Ciputra Hà Nội,632,"15,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,182,,4,3,có,"Tây Nam, Tây  Bắc",có đủ đồ nội thất đẹp
"Bán căn hộ 2 phòng ngủ, tầng cao view hồ tây tại dự án D’ LE ROI SOLEIL Xuân Diệu",630,"10,7 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,88,82,rộng,2,2,view hồ,,hiện đại
"Cắt lỗ  bán căn hộ tầng cao view hồ, nội thất đẹp toà D.' LE ROI SOLEIL Xuân Diệu",627,"11,5 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,88,82,rộng,2,2,view hồ,,hiện đại
"Hót nhất thi trường bán căn hộ 2 phòng ngủ,88m, view hồ, nội thất xịn",626,"9,5 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,88,88,rộng,2,2,rộng,,hiện đại
"Giảm sốc, bán căn hộ cao cấp 3 phòng ngủ, view hồ tây, Phố Xuân Diệu",625,"13,7 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,111,111,rộng,3,2,rộng,,hiện đại
"Bán căn hộ 2 phòng ngủ, tầng cao tòa A tại D.' LE ROI SOLEIL số 59 Phố Xuân Diệu",623,10 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,88,82,rộng,2,2,rộng,,hiện đại
Bán căn hộ cao cấp toà B chung cư D Le Roi Soleil số 59  Xuan Diệu,618,"9,9 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,88,88,rộng,2,2,rộng,,hiện đại
"Bán căn hộ đẹp View chọn Hồ Tây, DT:146m, tại D’. Le Roi Soleil số 59 Phố Xuân Diệu",616,"11,9 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,146,146,rộng,3,2,rộng,,hiện đại
Chính chủ nhờ bán căn hộ mới cải tạo tại E4 ciputra Tây hồ Hà Nội,598,"10,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,154,,4,2,có,Đông nam,"đủ đồ, đồ đẹp"
"Chỉ với 5,x tỷ bạn đã sở hữu căn hộ 3 PN, 2 WC, diện tích 119m2 tại khu đô thị đẳng cấp nhất Hà nội - Ciputra·",594,"7,4 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,119,60,3,2,có,Tây Bắc ( ban công ),gắn tường
Bán căn hộ 1 phòng ngủ Tại The Link Ciputra thiết kế hiện đại giá tốt,593,"7,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,72,,1,2,yes,Đông Nam,"đủ đồ, đồ đẹp"
Bán căn hộ view đẹp căn hiếm tại toà nhà D leroi solei Xuân Diệu Tây Hồ Hà Nội,578,12 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,,137,80,3,2,có,Đông bắc,gắn tường
Bán căn hộ cao cấp đủ đồ tầng cao view đẹp 153m2 3 phòng ngủ tại Ciputra Hà Nội,576,"10,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,153,,3,2,có,Tây Bác và Tây Nam,"đủ đồ, đồ đẹp"
"Bán căn hộ cao cấp 126m, 2 phòng ngủ, 3wc, siêu đẹp tại Lancaster số 20 phố núi trúc, Ba đình",568,"8,56 tỷ",Quận Ba Đình,Bán Căn hộ quận Ba Đình,126,126,rộng,2,3,1,,có nội thất
"Bán căn hộ chung cư Lancaster Núi Trúc, 86m2, 2PN, 2 vệ sinh, đầy đủ đồ",567,"5,55 tỷ",Quận Ba Đình,Bán Căn hộ quận Ba Đình,86,86,1,2,2,,,có nội thất
"Bán căn hộ chung cư Lancaster - 20 Núi Trúc, 111,6m2, 3PN, viu hồ ngọc khánh,",566,"7,55 tỷ",Quận Ba Đình,Bán Căn hộ quận Ba Đình,120,120,1,3,2,1,,có nội thất
"Hàng Hiếm, Bán căn hộ  view sân Golf 4 phòng ngủ rộng 267m2 tại L12 Ciputra",563,26 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,267,sang trọng,4,3,có,Đông Bắc,
Bán Penthouse siêu đẹp giá rẻ nhất Ciputra Hanoi,561,"14,5 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,212,212,100,3,3,có,Đông nam,"đủ đồ, đồ đẹp"
Chính chủ gửi bán căn hộ 154m2 3 phòng ngủ tầng trung L2 Ciputra Tây Hồ Hà Nội,558,"12,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,154,60,3,2,có,,Fully furnished
"Bán căn hộ 154m2 tầng cao 02 phòng ngủ sửa đẹp tại Toà L Ciputra, Tây Hồ, Hà nội",557,"12,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,154,80,2,2,có,Đông nam,gắn tường
Bán Căn hộ 4 phòng ngủ 182m2 mới sửa ở tầng cao P1 Ciputra Tây hồ Hà Nội,555,15 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,,,4,3,có,Đông nam,đủ đồ
Chủ nhà cần bán gấp căn Hộ L5 Ciputra Hà Nội tầng cao đồ căn bản,553,"9,2 tỷ",Quận Tây Hồ,Bán Căn Hộ Chung Cư Ciputra,114,114,40,3,2,có,Tây Nam,gắn tường
"Bán căn góc tòa E5 Ciputra, 147m, 4pn, đồ cơ bản",545,"10,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,147,147,"Sang Trọng, hiện đại",4,02,,Tây Bắc,
"HOT! Bán Căn hộ 123m3 E1 Ciputra, tầng trung, giá hơp lý",542,"7,7 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,123 m2,thoáng và rộng,3 phòng ngủ,2 phòng tắm,hướng đông nam,"Cửa:Tây-Bắc, Ban Công: Đông Nam",Nội thất cơ bản của Ciputra
"Bán Căn hộ E1 Ciputra Hà Nội, 123m2, Để lại nội thất, Giá Thiện Chí",538,"7,5 tỷ",Quận Tây Hồ,Bán Căn Hộ Chung Cư Ciputra,,123 m2,Rộng,3,2,Đông Nam,"Cửa:Tây-Bắc, Ban Công: Đông Nam",Đã có Nội Thất
"Bán căn hộ Ciputra tòa P1, 182m2, tầng cao view đẹp",532,"14,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,1,4,3,,,đầy đủ
"Bán căn hộ tòa P1 Ciputra, 145m, view đài phun nước tầng trung",527,"9,4 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,145,145,Hiện Đại,3,2,Yes,Tây Bắc,
"Bán căn hộ view Hồ Tây, Lạc Long Quân 118m, 3pn",526,"4,8 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,118,118,Hiện Đại,3,02,,Đông Nam,full
"Cần bán Penthouse view Hồ Tây 671 Hoàng Hoa Thám, 333m, 4PN, 4wc, giá hợp lý",519,"14,5 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,333,333,"Sang Trọng, hiện đại",4,04,,Đông Bắc,
"Bán căn hộ tòa E4 Ciputra, 153m, 3pn, sửa đẹp",515,12 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,153,153,,,,,,
"Bán căn hộ View golf tòa P1, P2 Ciputra 182m, 4pn, 3wc",514,15 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,view Golf,4,3,,Đông Bắc,
"Bán chung cư E4 Ciputra 123m, 3pn, 2wc, đầy đủ đồ về ở luôn",509,"7,9 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,123,123,,,,,,
"Bán căn hộ E4 E5 Ciputra, tầng cao, 3pn, 2wc giá hợp lý",507,"7,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,123,123,,,,,,
"Chính chủ cần bán căn hộ tầng thấp tòa P1 Ciputra, 145m, 3pn, sửa đẹp",504,"10,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,145,145,,3,3,,Đông Nam,
"Bấn căn hộ tòa P1 Ciputra, 182m, 4pn, view Đông Nam",500,"11,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,,,,,,
"Cần bán căn hộ 58m, tòa L345 Ciputra, đã sửa, đầy đủ nội thất",499,5 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,58,53,,,,,,
"Bán căn hộ view Golf tòa P2 Ciputra, 145m, 3pn, sửa đẹp",498,"9,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,145,145,,,,,Đông Bắc,full
"Chính chủ cần bán căn hộ tòa E5 Ciputra, 123m, 3pn, 2wc nguyên bản",495,"7,9 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,123,123,,,,,,
"Bán căn hộ tòa E5 Ciputra, 153m, 4pn, view sân trước giá hợp lý",490,11 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,1,153,,,,,,
"Bán căn hộ L345 Ciputra, 114m, 3pn, 2wc, đầy đủ nội thất",487,"9,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,114,,,,,,Sang Trọng
"Duy Nhất Penthouse Xuân Diệu, View trực diện Hồ Tây, Dt 330m,4pn, 4wc",478,33 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,,330,,,,,,
"Siêu phẩm Penthouse view Hồ Tây có bể bơi, Dt 250m, hướng Đông Nam,",477,27 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,,250,,,,,,
"Chính chủ bán căn hộ View Hồ Tây, tòa nhà Watermark, 234m, 4pn, 3wc",476,24 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,,234,,,,,,
"Bán Penthouse sky villa 600m x 3 tầng view Sông Hồng, Hồ Tây",475,18 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,,600,,,,,,
"Cần bán căn hộ 165m, tòa L1, view bể bơi, sân golf Ciputra",471,14 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,,,,,,,Fully Furnished
"Bán căn hộ penthouse, áp mái G3 Ciputra, 220m, 4pn, 3wc",470,"10,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,119,180,,3,3,,Đông Nam,
"Chính chủ bán căn hộ G2 Ciputra, 119m, 3 PN, hướng Đông Bắc",469,"6,9 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,119,,,,,,,
Mở bán quỹ căn Duplex Penthouse thông tầng tại Udic Westlake,455,Vui lòng liên hệ,Quận Tây Hồ,Bán Căn Hộ Chung Cư Ciputra,,295,,5,,,,
"Bán căn hộ tòa G2 Ciputra, 119m, tầng cao, view thoáng",432,"7,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,119,,3,2,,,
"Bán căn hộ 154m, tòa L2 Ciputra, nhà sửa đẹp vào ở ngay",431,"13,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,154,154,,,,,,
"L1 Ciputra: Căn hộ 154m, 3 PN, sửa đẹp, view sân Golf tầng 19 cần bán",430,9 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,154,,3,2,,Đông Bắc,Fully Furnished
"Bán căn hộ 182m View sân Golf, đẹp nhất tòa P1 Ciputra",429,"14,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,,4,3,,,
