title,id,price,Khu Vực,Loại BDS,Diện tích đất,Diện tích sử dụng,Phòng khách,Phòng ngủ,Phòng tắm,Ban công,Hướng,Nội thất
"Bán căn hộ  view sân Golf P1, P2 Ciputra 182m, 4pn, nội thất gỗ tự nhiên siêu hiếm",426,"11,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,182,,4,3,,,full
"Bán căn hộ 2 phòng ngủ, 53m, tòa Link 345",406,"5,1 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,58,58,,,,có,,full
Bán Căn hộ E4 Ciputra 123m2 tầng cao view Hanoi Academy,405,"7,4 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,123,,3,2,Đông Nam,Tây Bắc,
"Bán và cho thuê căn hộ G2 ciputra,119m, 3pn, 2wc hướng Tây Nam",404,"7,3 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,119,,,,,Tây Nam,Fully Furnished
"Bán Căn hộ 123m. 3pn, 2wc, hướng Tây Bắc view nội khu Ciputra",403,8 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,123,,3,2,Có,Tây Bắc,
"Bán Căn Hộ Sunshine City, 03 Phòng Ngủ, Hướng Đông Nam, View Sân Golf, Ciputra",402,"7,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,105.5,,03,02,,,
"Căn hộ E4 153m, 2 phòng ngủ sửa đẹp, vào ở ngay",396,"8,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,153,152,,,,,Ciputra,
"Bán Căn hộ Ciputra 182m2 tòa P2 Ciputra hướng Đông Bắc, SĐCC",378,"9,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,182,,03,03,Có,Đông Bắc,
"Căn hộ view sân Golf, 182m, 4pn, nguyên bản bán",377,"14,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,182,view Golf,,,có,Đông Nam,
"Bán căn hộ đã sửa 182m, tòa P2, 3pn, 3wc view sân Golf Ciputra",376,14 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,,3,3,,Đông Bắc,
Bán Căn hộ 145m2 tòa P2 Ciputra view sân Gôn hướng Đông Bắc,369,"8,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,145,,3,2,Có,Đông Bắc,
"Bán Duplex Penthouse tòa P Ciputra, hướng Đông Nam, 279m2",364,19 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,160,279,,03,02,Có,Đông Nam,
"Chính chủ cần Bán Căn hộ 123m2, view khu Biệt thự, hướng ĐN tòa E4 Ciputra",361,"8,7 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,123,,3,2,Phòng ngủ chính,Đông Nam,
"Bán Căn Hộ Tòa P1 Ciputra, 145m2, View Khu Biệt Thự, Hướng Đông Nam",357,"8,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,145,,3,2,,,
"Bán căn hộ Golden Westlake, 185m2, 3 phòng ngủ, hướng Đông Nam",354,Vui lòng liên hệ,Quận Ba Đình,Bán Căn hộ quận Ba Đình,,185,,5,5,2,Đông Nam,
"Bán Căn Hộ Tòa P1 Ciputra, Tầng Cao, View Khu Biệt Thự, Hướng Đông Nam",351,"8,7 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,145,145,,3,2,,,
"Giá siêu hiếm: Bán căn hộ 114m, tòa L4 view sân Golf hướng ĐN",344,8 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,114,114,,3,2,,Đông Nam,
"Bán căn hộ 3 ngủ R1 Sunshine Riverside, đầy đủ đồ, mới đẹp",337,"6,7 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,96,96,,3,2,1,ĐN,Đầy đủ nội thất
"Cần bán căn hộ tòa R3 106m2 Sunshine Riverside  view Hồ Tây, đủ đồ nội thất",334,"7,4 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,106,106,1,3,2,,,Đầy đủ nội thất
"Căn hộ R3 Sunshine Riverside, 3 ngủ đủ đồ y hình, view đẹp cần bán gấp",333,"7,5 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,107,107,1,3,,1,,
"Căn hộ 3 ngủ R3 Sunshine Riverside, đủ đồ cần bán",332,"7,4 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,107,107,,3,,1,,Đầy đủ nội thất
"Bán căn 2 ngủ R2 Sunshine , nội thất đầy đủ y hình",331,4 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,57,57,,2,2,1,nam,
"Căn hộ 2 ngủ tại R1, Sushine Riverside , view Hồ Tây, đủ đồ cần bán",330,"3,7 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,61,61,1,2,2,ĐN,,Đầy đủ nội thất
"Bán căn hộ R2 Sunshine Riverside , 3 ngủ đầy đủ đồ view Hồ Tây, cầu Nhật Tân",329,"6,4 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,89,89,1,3,,ĐN,,Đầy đủ nội thất
"Bán căn hộ Mipec Long Biên view trực diện sông Hồng, tòa B tầng cao",310,"7,5 tỷ",Quận Long Biên,Bán căn hộ quận Tây Hồ,138,138,1,3,2,,,Đầy đủ nội thất
"Watermark: Căn hộ cao cấp 6 sao view Hồ Tây, dt 245m, 4 phòng ngủ, 3 vệ sinh, nội thất nhập khẩu",308,25 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,245,245,sang trọng,4,3,view hồ,Đông Nam,Sang Trọng
"Bán gấp căn hộ View sân golf tòa P2, 145m, 3pn, 2wc",307,"8,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,145,,3,2,,Đông Bắc,
"Giá Chốt nhanh: Bán căn hộ L3 Ciputra 154m2 nội thất xịn, View đẹp",299,"13,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,154,Sang Trọng,3,2,,,Nội Thất sang trọng
"Cần bán căn hộ view Golf, tòa P2, dt 145m, 3pn, 2wc",295,9 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,145,Hiện Đại,3,2,,Đông Bắc,
"Cần bán gấp căn hộ Pentstudio view cầu Nhật Tân, Sông Hồng dt 155m, 3 phòng ngủ 2wc",294,11 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,,155,,,,,Đông Bắc,
"Cần bán căn hộ 154m, tòa E5 Ciputra, Tây Hồ, 4 phòng ngủ hướng Đông Nam",267,"10,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,154,154,1,3,2,,Đông Nam,
"Bán căn hộ 114m, tòa L1 Ciputra, 3 phòng ngủ, đủ đồ",266,"8,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,114,114,1,3,2,Yes,Ciputra,Fully Furnished
"Bán căn hộ 4 phòng ngủ, 182m, tòa P1 Ciputra",262,"9,7 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,,1,04,03,Yes,Ciputra,Fully Furnished
"bán căn hộ 145m, tòa P2 Ciputra, view sân Golf tầng cao đủ đồ",260,"9,6 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,145,,1,3,2,có,Golf Course,đầy đủ
"Căn hộ 182m, tòa P2, view sân golf 4 phòng ngủ",258,12 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,,,4,3,2,,
"Bán căn hộ 58m, tòa L345, Ciputra tầng cao",254,"5,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,57,57,1,,,,Ciputra,
"L345 Bán căn hộ 114m, view sân Golf tòa L4 đầy đủ nội thất",253,"9,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,114,114,1,3,2,Yes,Golf Course and Q Block,Fully Furnished
"Chính chủ bán căn hộ tòa E5 Ciputra, 153m, 4 phòng ngủ, 2 wc, hướng Đông Nam",251,"9,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,153,153,1,4,2,,,Fully Furnished
"Bán căn hộ 149m, tòa G2 Ciputra, Hà Nội view Hồ Tây",250,"9,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,153,153,,4,2,Yes,,Fully Furnished
"Căn hộ 80,1m2 tòa N03-T8 khu Ngoại Giao Đoàn",242,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,"80,1",,,,,,
"Chính chủ bán căn hộ 127m2 tòa N01T3, P. Xuân Tảo, Bắc Từ Liêm",241,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,127,,,,,,
"Bán gấp căn hộ căn góc 95m2 tòa nhà N01T3, Ngoại Giao Đoàn, Bắc Từ Liêm",240,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,95,,,,,,
"Bán căn hộ  89,2m2 thuộc Tòa N03 - T8 Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm",239,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,89.5,,,,,,
"Cần bán ngay căn hộ 104m2 tòa nhà N03T1, Ngoại Giao Đoàn",238,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,104,,,,,,
"Bán gấp căn hộ căn góc 95,5 m2 Tòa N03T1 Ngoại Giao Đoàn",237,Vui lòng liên hệ,Quận Tây Hồ,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,95.5,,,,,,
"Bán căn hộ 68m2 chung cư N04A Ngoại Giao Đoàn,",235,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,68,,,,,,
"Cần bán ngay căn hộ  căn góc 95,5m2 tòa nhà N03T1, Ngoại Giao Đoàn, Bắc Từ Liêm",234,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,95.5,,,,,,
"Chính chủ bán gấp căn hộ rộng 124m2 tòa N02-T2 Ngoại Giao Đoàn, Xuân Tảo",233,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,124,,,,,,
Cần bán căn hộ góc 122m2 chung cư Lạc Hồng Lotus 1 Giá Rẻ,232,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,122,,3,2,,,
"Chính chủ gửi bán căn 03, 08, 09 chung cư N01T5 Ngoại Giao Đoàn",231,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,87,,2,2,,,
"Bán gấp căn hộ Lạc Hồng Lotus 1 tòa N01-T5, P. Xuân Tảo, Q. Bắc Từ Liêm, Hà Nội",230,Vui lòng liên hệ,Quận Tây Hồ,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,108,,2,2,,,
"Chính chủ bán căn hộ că góc 126m2 Tòa Lạc Hồng Lotus 1 - N01T5 Ngoại Giao Đoàn, Xuân Tảo",229,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,122,,2,2,,,
"Bán căn hộ căn góc tòa nhà N01T5 Lạc Hồng Lotus 1, Ngoại Giao Đoàn",228,Vui lòng liên hệ,Quận Tây Hồ,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,108,,3,2,,,
"Bán căn của tòa N01T5 - Lạc Hồng Lotus 1, Ngoại Giao Đoàn",227,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,87,,,,,,
"Bán gấp căn số 02 view hồ N01T5 - Lạc Hồng Lotus 1, Ngoại Giao Đoàn",226,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,87,,,,,,
"Do cần tài chính cho con đi du học, chủ nhà cần bán căn hộ 08 tầng cao Lạc Hồng Lotus 1 -  N01T5 Ngoại Giao Đoàn.",225,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,87,,,,,,
"Bán căn hộ 87m2 tầng trung Tòa Lạc Hồng Lotus 1 - N01T5, Ngoại Giao Đoàn, P. Xuân Tảo, Bắc Từ Liêm.",224,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,87,,,,,,
"Chủ nhà cần bán gấp căn hộ 114m2, Tòa L1 Ciputra",223,8 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,114,,,,,,
"Bán Căn hộ diện tích 114m2, Tòa L2 Ciputra, thiết kế 3 phòng ngủ, 2 phòng vệ sinh",222,"8,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,114,,3,2,2,,
"Bán căn hộ số 6 tòa P2, view sân golf, bể bơi, Ciputra Tây Hồ, Hà Nội",220,"10,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,182,,,,,,
"Bán căn hộ số 06, tòa P2, 3 PN, view Golf đẹp nhất khu Ciputra Hà Nội",218,9 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,182,,3,2,,,
"Bán căn hộ 145m2 tòa P2 Ciputra, KDT Nam Thăng Long - Tây Hồ",217,"8,6 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,145,,,,,,
"Bán căn hộ 05 tầng cao tòa P1 Ciputra 145m2, view sân Golf",216,"9,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,145,,,,,,
"Bán căn hộ tầng trung P1 dt 145m2 Ciputra, Phú Thượng, Tây Hồ",215,"9,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,145,,3,,,,Có nội thất
"Bán căn hộ tầng thấp 145m2 căn hộ P2 Ciputra, KDT Nam Thăng Long - Tây Hồ",214,"8,9 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,145,,3,2,1,,
Gấp! Cần bán gấp căn 3 PN ban công hướng Đông view Hồ Tây Ngoại Giao Đoàn,213,Vui lòng liên hệ,Quận Tây Hồ,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,109,,,,,,
"Cần bán căn hộ căn góc 122m2 thông thủy, chung cư Lạc Hồng Lotus 1",212,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,122,,,,,,
"Bán căn hộ 3104 diện tích 108m2 chung cư Lạc Hồng Lotus 1 - N01T5 Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm",210,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,108,,,,,,
"Bán căn hộ rộng 120m2 Tòa N04B - T2 Ngoại Giao Đoàn, P. Xuân Tảo, Bắc Từ Liêm",209,Vui lòng liên hệ,Quận Tây Hồ,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,120,,,,,,
"Chính chủ bán căn hộ 60m2 chung cư N04A Ngoại Giao Đoàn, Bắc Từ Liêm",208,Vui lòng liên hệ,Quận Tây Hồ,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,60,,,,,,
"Chính chủ bán căn hộ 89,5m2 Tòa N03 - T8 Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm",207,Vui lòng liên hệ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,90,,,,,,
Chính chủ bán gấp căn hộ 91m2 tòa N02T1  tại khu Ngoại Giao Đoàn,206,Vui lòng liên hệ,Quận Tây Hồ,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,84,,2,2,,,
"Bán gấp căn hộ 83,3m2  tòa N02T1 Ngoại Giao Đoàn",205,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,83.3,,,,,,
"Bán gấp căn hộ 91m2 tòa N02T1  tại khu Ngoại Giao Đoàn, Xuân Tảo",204,Vui lòng liên hệ,Quận Tây Hồ,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,84,,,,,,
"Chính chủ bán căn hộ căn góc 126m2 Tòa Lạc Hồng Lotus 1 - N01T5 Ngoại Giao Đoàn, Xuân Tảo",203,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,126,,,,,,
"Bán căn hộ căn góc tòa nhà N01T5 - Lạc Hồng Lotus 1, Ngoại Giao Đoàn",202,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,,108,,,,,,
"Bán gấp căn hộ 87m2 Tòa Lạc Hồng Lotus 1 - N01T5, Ngoại Giao Đoàn, P. Xuân Tảo",201,Vui lòng liên hệ,Quận Từ Liêm,Bán Căn Hộ Chung Cư Ngoại Giao Đoàn,87,87,,,,,,
"Chính chủ cần bán gấp căn hộ L 345 Ciputra 114m, 3 phòng ngủ",198,"8,3 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,114,,3,2,,,
"Chính chủ cần bán gấp căn hộ 4 phòng ngủ, view sân golf P1, P2 Ciputra, Hà Nội",196,"10,4 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,182,,,,,,
"Bán gấp căn hộ182 m2, căn hộ 4 phòng ngủ P1, P2 Ciputra, Hà Nội",193,"8,7 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,182,,,,,,
"Cần bán gấp căn hộ 182m2, 4 phòng ngủ P1, P2 Ciputra, Hà Nội",190,10 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,182,,,,,,
"Cần bán gấp căn hộ tầng cao Tòa E- Ciputra- Nam Thăng Long, quận Tây Hồ",185,"8,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,153,,,,,,
"Căn hộ chung cư E1 Ciputra với diện tích 153m2 cần bán gấp, thiết kế 4 phòng ngủ",184,"8,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,153,,,,,,
"Bán gấp căn hộ 153m2 thuộc tòa nhà E1 Ciputra, Phú Thượng, Tây Hồ",180,"8,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,153,,,,,,
"Bán căn hộ tòa E5 Ciputra, Tây Hồ, Hà Nội. Căn hộ có diện tích 142 m2, thiết kế 4 phòng ngủ",179,7 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,142,,,,,,
"Căn hộ chung cư E1 Ciputra, Quận Tây Hồ, 4 phòng ngủ cần bán gấp với diện tích 153m2",173,"7,3 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,153,,,,,,
"Bán căn hộ cao cấp Watermark 395 Lạc Long Quân, view Hồ Tây, 98m2 đầy đủ đồ",153,"8,3 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,98,98,,2,2,rộng,hồ tây,đầy đủ
"Bán căn hộ 182m, ban công hướng Đông Nam, 4pn, đầy đủ đồ",151,"10,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,sang trọng,4,3,Yes,Đông Nam,Fully Furnished
"Cần bán căn hộ tại tòa E1 Ciputra, nhà đẹp, vào ở ngay",150,"9,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,147,147,sang trọng,,,,,
"⭐ Bán Căn Hộ Watermark, Tây Hồ, 188m2, 4 ngủ, 1 trong 4 căn đẹp nhất",142,Vui lòng liên hệ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,188,1,,4,4,rộng,,
"Bán căn hộ tòa Watermark, căn penthouse tầng 18 đẳng cấp chuẩn 5 sao ven Hồ Tây",141,Vui lòng liên hệ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,324,324,1,5,5,rộng,đẹp,
"Bán chung cư tòa E1 Ciputa 123m, 3 phòng ngủ giá rẻ",138,"7,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,123,123,có,3,2,có,vườn hòa,đủ đồ
"Bán căn hộ chung cư 2 ngủ Watermark, 395 Lạc Long Quân, Tây Hồ",131,Vui lòng liên hệ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,,112,1,2,2,có,Hồ tây,đầy đủ đồ
"Căn hộ 114m, tòa L3 Ciputra, 3 phòng ngủ, 2 vệ sinh đủ đồ cần bán gấp",124,"9,2 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,114,,3,2,,có,full
"Bán căn hộ quận Đống Đa, tòa Sky City 88 Láng Hạ Giá, 112m2 3 ngủ",116,Vui lòng liên hệ,Quận Đống Đa,Bán căn hộ quận Đống Đa,112,112,1,3,3,1,phố,
"Bán WaterMark Hồ Tây, thiết kế chuẩn Châu Âu 126m2 full nội thất",113,12 tỷ,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,126,126,40,3,4,1,hồ tầy,full nội thất
"Bán nhà trong ngõ phố Lê Đại Hành, vị trí đẹp  gần Vincom Bà Triệu SĐCC, hướng Tây",107,Vui lòng liên hệ,Quận Hai Bà Trưng,Căn Hộ Bán Quận Hai Bà Trưng,100,100,,4,4,,Tây,
"Bán nhà Lê Thanh Nghị,50m2, 2.5 tầng, MT 5m.Oto đỗ cửa, kinh doanh sầm uất.",106,Vui lòng liên hệ,Quận Hai Bà Trưng,Căn Hộ Bán Quận Hai Bà Trưng,50,50,,,,,Đông Nam,
"Bán căn hộ tòa C3 căn 04 chung cư Mandarin Garden , DT 134m2",105,Vui lòng liên hệ,Quận Cầu Giấy,Bán Căn hộ quận Cầu Giấy,134,134,,2,2,có,TB - ĐN,
"Cần bán căn hộ sân vườn cao cấp Imperia Garden tòa D, DT: 129m2, SĐCC",103,Vui lòng liên hệ,Quận Thanh Xuân,Bán căn hộ quận Thanh Xuân,129,129,,3,3,có,TB - ĐN,cơ bản
"Bán căn hộ 153m2 view Hồ Tây, cầu Nhật Tân, thiết kế đẹp tại tòa E5 Ciputra Hà Nội",98,"9,5 tỷ",Quận Tây Hồ,Bán Căn Hộ Chung Cư Ciputra,153,153,,3,2,2,"hồ tây, nhật tân",đầy đủ nội thất
